Food Name,Category,Calories,Carbs (g),Protein (g),Fat (g),Serving Size,Unit,Serving Weight (g),Calories per 100g,Carbs per 100g,Protein per 100g,Fat per 100g
Fava beans,Legumes & Beans,93.5,16.7,6.5,0.3,0.5,cup,85,110,19.6,7.6,0.4
Black eyed peas,Unknown,198.4,35.5,13.2,0.9,1,cup,171,116,20.8,7.7,0.5
Lima beans,Legumes & Beans,216.2,39.2,14.7,0.7,1,cup,188,115,20.9,7.8,0.4
Strawberries,Fruits,28.8,6.9,0.6,0.3,5,large,90,32,7.7,0.7,0.3
Blueberries,Fruits,0.8,0.2,0,0,1,berry,1.4,57.1,14.3,0,0
Pineapple,Fruits,41.2,10.8,0.5,0.1,0.5,"cup, chunks",82.5,49.9,13.1,0.6,0.1
Mango,Fruits,201.6,50.3,2.8,1.3,1,fruit without refuse,336,60,15,0.8,0.4
Kiwi,Fruits,42.1,10.1,0.8,0.4,1,"fruit (2"" dia)",69,61,14.6,1.2,0.6
Watermelon,Fruits,85.8,21.6,1.7,0.4,1,wedge (approx 1/16 of melon),286,30,7.6,0.6,0.1
Peaches,Fruits,68.2,16.7,1.6,0.4,1,"large (2-3/4"" dia)",175,39,9.5,0.9,0.2
Plums,Fruits,30.4,7.5,0.5,0.2,1,"fruit (2-1/8"" dia)",66,46.1,11.4,0.8,0.3
Raspberries,Fruits,1,0.2,0,0,1,raspberry,2,50,10,0,0
Blackberries,Fruits,2.8,0.6,0.1,0,1,blackberry,6.5,43.1,9.2,1.5,0
Papaya,Fruits,62.4,15.7,0.7,0.4,1,"cup 1"" pieces",145,43,10.8,0.5,0.3
